Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Camry,Makkah,Toyota,Automatic,Saudi,Full,2.4,2000,119000,2,False,False,7.601402334583733
Azera,Jeddah,Hyundai,Automatic,Saudi,Full,3.5,146000,56500,6,False,False,11.891368749982085
CS35,Riyadh,Changan,Automatic,Saudi,Full,1.6,5000,44000,1,False,False,8.517393171418904
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2.0,191,38500,7,False,False,5.2574953720277815
Edge,Riyadh,Ford,Automatic,Saudi,Standard,3.6,240000,35000,9,False,False,12.388398368982115
LS,Dammam,Lexus,Automatic,Saudi,Full,4.6,132000,165000,7,False,False,11.790564777297387
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,5.3,300000,48000,10,False,False,12.611541086966115
Hilux,Najran,Toyota,Manual,Saudi,Full,2.7,122000,65000,4,False,False,11.711784520403112
The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2.0,156000,45000,9,False,False,11.957617696467539
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,5.4,143000,60000,8,False,False,11.870606902224587
GLE,Riyadh,Mercedes,Automatic,Other,Full,6.9,24000,330000,2,False,False,10.085850775128717
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2.0,300,25000,7,False,False,5.707110264748875
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2.4,100,72910,2,False,False,4.61512051684126
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,4.6,344000,88000,12,False,False,12.748399843328054
Sedona,Jeddah,Kia,Automatic,Other,Semi Full,3.2,118000,65000,6,False,False,11.678448377988165
Victoria,Khobar,Ford,Automatic,Saudi,Standard,4.6,176000,50000,11,False,False,12.07824495582233
Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,3.5,293000,77000,6,False,False,12.587931300962664
Corolla,Riyadh,Toyota,Automatic,Saudi,Full,1.0,50000,15000,19,False,False,10.819798284210286
CX9,Riyadh,Mazda,Automatic,Saudi,Full,3.7,388000,37000,8,False,False,12.868763195921677
Tahoe,Aseer,Chevrolet,Automatic,Other,Semi Full,5.3,300000,35000,14,False,False,12.611541086966115
CLA,Riyadh,Mercedes,Automatic,Other,Full,2.0,15000,410000,2,False,False,9.61587214452889
